Customer_ID,Age (years),Gender,Income ($),Geographic Location
1,25,Male,124127,City B
2,19,Female,113670,City C
3,54,Male,97608,City B
4,61,Female,25369,City B
5,43,Female,87570,City B
6,65,Male,82735,City B
7,66,Female,83385,City C
8,31,Female,39596,City B
9,32,Male,144852,City B
10,43,Male,32258,City B
11,68,Female,30080,City A
12,43,Female,91868,City A
13,40,Male,49546,City C
14,57,Female,89535,City C
15,42,Female,82202,City A
16,68,Female,136445,City C
17,25,Male,28625,City C
18,67,Female,128510,City C
19,28,Male,63852,City C
20,49,Male,106702,City C
21,47,Female,125828,City A
22,44,Female,102847,City A
23,41,Male,147202,City C
24,27,Female,125504,City C
25,63,Female,49030,City C
26,37,Female,125792,City A
27,37,Male,88479,City B
28,18,Female,129986,City B
29,19,Male,22788,City A
30,56,Female,73899,City A
31,24,Female,84000,City C
32,68,Male,141482,City C
33,63,Female,80592,City C
34,69,Female,91022,City A
35,66,Female,80611,City C
36,23,Male,100085,City A
37,25,Female,83233,City B
38,28,Female,57308,City C
39,33,Female,106469,City C
40,69,Male,78818,City B
41,27,Female,140017,City A
42,60,Female,113320,City A
43,33,Female,26511,City A
44,66,Female,59310,City A
45,44,Male,40379,City B
46,40,Female,142239,City C
47,51,Male,135876,City C
48,64,Male,30331,City C
49,36,Male,82549,City A
50,18,Male,75122,City A
51,49,Female,81516,City C
52,35,Male,142937,City A
53,65,Female,24122,City B
54,39,Female,22660,City B
55,62,Female,63523,City A
56,30,Male,54507,City A
57,53,Male,74042,City B
58,20,Female,36200,City B
59,22,Female,27352,City A
60,41,Female,145894,City C
61,58,Male,148156,City C
62,50,Female,24885,City B
63,36,Male,64520,City A
64,51,Female,44074,City A
65,67,Female,21976,City C
66,52,Male,46906,City C
67,53,Female,63859,City C
68,53,Female,77634,City C
69,44,Female,148423,City B
70,38,Female,93158,City B
71,59,Female,105434,City B
72,35,Female,65146,City C
73,40,Female,29388,City A
74,60,Female,35770,City A
75,51,Male,138437,City B
76,30,Male,71834,City A
77,63,Male,133782,City A
78,51,Female,38425,City A
79,19,Female,125944,City C
80,45,Male,130916,City A
81,64,Male,113879,City A
82,18,Female,84281,City A
83,33,Female,98217,City B
84,42,Female,28516,City A
85,43,Male,38952,City A
86,46,Female,117142,City C
87,25,Male,111798,City B
88,53,Male,60483,City C
89,30,Male,47298,City A
90,50,Female,64636,City C
91,30,Female,73961,City A
92,30,Female,132443,City C
93,48,Female,149143,City C
94,43,Female,123426,City A
95,44,Male,108762,City B
96,44,Female,113075,City A
97,50,Female,37879,City B
98,61,Male,59823,City C
99,22,Male,119757,City C
100,31,Female,39858,City C
101,67,Female,92051,City A
102,31,Female,33982,City B
103,40,Male,32771,City A
104,18,Male,85469,City A
105,50,Male,66996,City C
106,53,Male,44993,City A
107,62,Female,115063,City A
108,51,Female,122564,City C
109,27,Female,130643,City A
110,25,Male,50278,City A
111,55,Female,68096,City A
112,23,Female,143312,City A
113,42,Female,121713,City B
114,58,Female,52832,City A
115,56,Female,122337,City C
116,20,Female,45351,City A
117,37,Female,105067,City B
118,43,Female,73421,City C
119,44,Female,99677,City B
120,56,Male,57153,City C
121,59,Female,68098,City C
122,21,Male,42583,City C
123,40,Female,30996,City A
124,40,Male,99610,City A
125,52,Female,95801,City C
126,61,Male,149426,City C
127,28,Male,75786,City A
128,18,Female,119642,City C
129,52,Male,97057,City C
130,29,Female,41380,City C
131,25,Female,143285,City C
132,32,Female,56830,City A
133,29,Male,97290,City A
134,58,Female,87963,City B
135,59,Male,35360,City A
136,58,Female,115756,City A
137,19,Female,48213,City C
138,64,Female,148026,City B
