Product SKU,Production Schedule_ID,Lead Time (days),Production Capacities (units per hour),Resource Allocation
21,1,4,1,Resource A
48,2,10,4,Resource A
47,3,7,36,Resource B
35,4,17,42,Resource C
3,5,11,29,Resource C
36,6,6,30,Resource C
18,7,6,14,Resource A
53,8,14,20,Resource C
20,9,18,40,Resource A
9,10,7,47,Resource B
76,11,1,8,Resource C
73,12,5,24,Resource C
18,13,4,32,Resource A
44,14,13,15,Resource C
48,15,17,19,Resource B
10,16,7,31,Resource A
19,17,2,28,Resource B
71,18,15,5,Resource C
98,19,13,44,Resource B
74,20,15,12,Resource A
21,21,1,42,Resource C
74,22,3,17,Resource A
49,23,16,15,Resource B
75,24,13,22,Resource A
88,25,10,36,Resource B
24,26,17,16,Resource A
52,27,13,35,Resource A
17,28,18,43,Resource B
11,29,1,43,Resource A
44,30,14,31,Resource B
22,31,13,39,Resource A
67,32,4,39,Resource A
37,33,1,14,Resource A
75,34,19,1,Resource A
17,35,4,13,Resource C
26,36,14,10,Resource A
16,37,14,8,Resource C
63,38,19,3,Resource A
60,39,19,48,Resource B
91,40,19,14,Resource C
14,41,14,12,Resource B
95,42,6,39,Resource C
40,43,1,22,Resource A
18,44,4,38,Resource B
92,45,11,30,Resource C
36,46,13,9,Resource B
18,47,15,27,Resource C
56,48,9,4,Resource A
10,49,15,16,Resource C
79,50,13,5,Resource B
91,51,16,12,Resource B
17,52,4,23,Resource B
49,53,11,31,Resource C
55,54,19,16,Resource A
83,55,16,12,Resource B
24,56,5,33,Resource B
83,57,9,7,Resource C
67,58,13,27,Resource C
53,59,7,42,Resource B
11,60,1,28,Resource B
66,61,1,32,Resource B
98,62,1,11,Resource A
99,63,16,23,Resource C
70,64,17,39,Resource C
13,65,9,36,Resource B
78,66,13,20,Resource B
57,67,1,1,Resource B
44,68,15,23,Resource C
6,69,4,43,Resource C
92,70,9,48,Resource A
87,71,8,20,Resource B
43,72,13,8,Resource C
14,73,11,21,Resource A
15,74,2,8,Resource C
97,75,1,1,Resource B
91,76,6,12,Resource B
18,77,13,12,Resource C
55,78,8,28,Resource C
49,79,11,45,Resource A
52,80,3,28,Resource C
73,81,9,9,Resource B
77,82,15,23,Resource B
46,83,4,12,Resource C
96,84,10,45,Resource B
39,85,18,28,Resource B
84,86,1,32,Resource A
8,87,2,8,Resource A
84,88,8,18,Resource C
80,89,5,39,Resource C
34,90,4,11,Resource A
64,91,12,4,Resource B
58,92,6,23,Resource B
91,93,2,33,Resource A
62,94,10,25,Resource B
97,95,15,32,Resource B
33,96,18,47,Resource B
58,97,13,10,Resource A
15,98,12,19,Resource A
41,99,19,40,Resource C
28,100,4,10,Resource A
40,101,7,15,Resource A
68,102,9,24,Resource C
25,103,5,9,Resource B
58,104,13,30,Resource A
95,105,7,45,Resource A
59,106,11,35,Resource C
26,107,13,15,Resource B
41,108,13,46,Resource C
18,109,8,5,Resource B
27,110,12,26,Resource C
62,111,18,43,Resource A
83,112,18,46,Resource A
65,113,9,5,Resource C
40,114,6,35,Resource B
16,115,18,32,Resource A
31,116,10,8,Resource C
70,117,5,43,Resource A
58,118,8,26,Resource C
29,119,16,35,Resource B
74,120,3,47,Resource A
84,121,14,15,Resource C
69,122,1,12,Resource A
24,123,14,38,Resource C
54,124,4,18,Resource C
82,125,13,22,Resource B
33,126,19,25,Resource A
27,127,2,3,Resource B
72,128,7,37,Resource C
27,129,9,9,Resource B
92,130,11,24,Resource A
92,131,9,18,Resource B
56,132,12,26,Resource A
65,133,1,3,Resource A
19,134,14,8,Resource B
78,135,19,39,Resource C
70,136,2,14,Resource C
83,137,14,35,Resource C
10,138,19,32,Resource C
3,139,14,17,Resource B
3,140,18,47,Resource A
71,141,10,43,Resource B
51,142,17,26,Resource B
31,143,12,5,Resource C
53,144,5,47,Resource B
6,145,19,13,Resource B
94,146,8,32,Resource C
51,147,4,12,Resource A
76,148,11,31,Resource B
75,149,2,32,Resource C
34,150,5,1,Resource C
67,151,3,23,Resource C
94,152,6,13,Resource A
65,153,3,23,Resource A
2,154,4,14,Resource C
44,155,6,22,Resource B
81,156,19,31,Resource C
29,157,6,39,Resource A
48,158,8,19,Resource C
99,159,14,7,Resource C
31,160,12,27,Resource A
15,161,3,6,Resource C
86,162,3,15,Resource C
72,163,8,14,Resource A
1,164,5,8,Resource A
98,165,12,19,Resource C
95,166,9,47,Resource C
93,167,5,37,Resource A
60,168,10,18,Resource B
33,169,3,19,Resource B
63,170,10,8,Resource C
69,171,11,32,Resource C
72,172,6,16,Resource B
87,173,14,31,Resource B
10,174,13,36,Resource B
19,175,18,15,Resource A
29,176,14,47,Resource B
51,177,6,7,Resource C
39,178,10,21,Resource C
49,179,16,16,Resource A
20,180,8,21,Resource A
99,181,13,21,Resource C
40,182,10,32,Resource A
86,183,17,21,Resource C
43,184,1,24,Resource C
5,185,1,9,Resource C
3,186,10,45,Resource C
8,187,1,4,Resource A
92,188,3,41,Resource C
14,189,7,4,Resource B
39,190,17,17,Resource A
78,191,3,7,Resource A
88,192,3,24,Resource A
26,193,4,48,Resource C
13,194,9,13,Resource C
98,195,6,5,Resource A
95,196,3,35,Resource B
38,197,1,17,Resource C
32,198,13,1,Resource B
96,199,18,30,Resource B
89,200,14,45,Resource C
44,201,17,22,Resource B
45,202,3,8,Resource A
39,203,14,38,Resource B
8,204,3,42,Resource A
83,205,7,45,Resource B
4,206,7,45,Resource B
46,207,15,46,Resource C
89,208,11,26,Resource A
97,209,3,34,Resource C
96,210,4,10,Resource A
40,211,7,42,Resource A
61,212,8,23,Resource C
4,213,10,14,Resource C
44,214,5,23,Resource C
89,215,14,18,Resource C
15,216,18,18,Resource C
21,217,15,9,Resource A
14,218,18,32,Resource B
48,219,3,17,Resource A
37,220,16,48,Resource C
76,221,15,22,Resource C
59,222,7,34,Resource B
18,223,5,31,Resource A
5,224,2,19,Resource A
89,225,19,19,Resource A
